ID_D,District,ID_S,Secteur,Cellule,ID_V,Village,ID_Village_SHP,ID_BN
,HUYE,,HUYE,MUYOGORO,41,AKARUZI,24020104,1
,HUYE,,Rwaniro,Gatwaro,73,Amarongi,24120101,0
,HUYE,,Rwaniro,Mwendo,77,Birambo,24120401,0
,HUYE,,Rwaniro,Nyamabuye ,79,Bweramana,24120501,0
,HUYE,,MBAZI,TARE,61,CYAHAFI,24070701,1
,HUYE,,Rwaniro,Mwendo,76,Cyarera,24120402,0
,HUYE,,HUYE,NYAKAGEZI,44,GATONGATI,24020201,1
,HUYE,,Kinazi,Gahana,23,Gihana,24050203,1
,HUYE,,Kigoma,Gishihe,80,Kababaji,24040104,0
,HUYE,,Kigoma,Museke,89,Kabacuzi,24040502,0
,HUYE,,MBAZI,RUGANGO,64,KABAKONO,24070502,1
,HUYE,,Rusatira,Mugogwe,32,Kabeza,24110602,1
,HUYE,,Kigoma,Shanga,82,Kabicuki,24040804,0
,HUYE,,MBAZI,TARE,62,KAGARAMA,24070703,1
,HUYE,,Rusatira,Kimirehe,34,Kagasa,24110302,1
,HUYE,,Kigoma,Kabatwa,86,Kamihuro,24040203,0
,HUYE,,Kigoma,Gishihe,81,Kamyuga,24040106,0
,HUYE,,Rwaniro,Shyunga,74,Karugumya,24120702,0
,HUYE,,Rusatira,Kimirehe,33,Kigarama,24110304,1
,HUYE,,HUYE,MUYOGORO,42,KIGARAMA,24020105,1
,HUYE,,Cyanika,Gitega ,53,Kigarama,25020105,1
,HUYE,,MBAZI,RUGANGO,63,KIGARAMA,24070506,1
,HUYE,,Rwaniro,Shyunga,75,Kigarama,24120704,0
,HUYE,,Kigoma,Kabatwa,87,Kinyata,24040205,0
,HUYE,,HUYE,NYAKAGEZI,43,KINYINYA,24020206,1
,HUYE,,SIMBI,GISAKURA,11,KIRARAMBOGO,24130204,1
,HUYE,,Rusatira,Mugogwe,31,Mubuga,24110604,1
,HUYE,,SIMBI,KABUSANZA,13,NTOBWE,24130307,1
,HUYE,,SIMBI,GISAKURA,12,NYABISINDU,24130205,1
,HUYE,,Rwaniro,Nyamabuye ,78,Nyamabuye,24120505,0
,HUYE,,Kigoma,Shanga,83,Nyamirama,24040806,0
,HUYE,,Cyanika,Karama ,52,Nyamisave ,25020206,1
,HUYE,,Rwaniro,Kibiraro,71,Nyamivumu,24120103,0
,HUYE,,Cyanika,Karama ,51,Nyanza,25020207,1
,HUYE,,Cyanika,Karama ,51,Nyanza ,25020207,1
,HUYE,,Rwaniro,Kibiraro,70,Nyarunyinya,24120304,0
,HUYE,,Kinazi,Kabona,21,Remera,24050404,1
,HUYE,,Kinazi,Gahana,24,Rugarama,24050204,1
,HUYE,,Kigoma,Kabuga,85,Ruhungu,24040305,0
,HUYE,,Rwaniro,Gatwaro,72,Rumana,24120104,0
,HUYE,,Kigoma,Museke,88,Rusenyi,24040506,0
,HUYE,,SIMBI,KABUSANZA,14,RUSUMA,24130308,1
,HUYE,,Kinazi,Kabona,22,Rwambariro,24050405,1
,HUYE,,Cyanika,Gitega ,54,Rwingoma,25020110,1
,HUYE,,Kigoma,Kabuga,84,Sanzu,24040307,0
